course_id,title,description,tags,category,subcategory,level,instructor,learning_outcomes,video_id,youtube_url
86,Flask from Scratch,Comprehensive beginner course on Flask. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"flask,web-development,beginner",Web Development,Flask,Beginner,Dr. Sarah Johnson,"Master Flask, Build real-world projects, Understand core concepts, Apply best practices",0HXg9_r_7MM,https://www.youtube.com/watch?v=0HXg9_r_7MM
87,Complete Laravel Course,Comprehensive advanced course on Laravel. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"laravel,web-development,advanced",Web Development,Laravel,Advanced,David Kim,"Master Laravel, Build real-world projects, Understand core concepts, Apply best practices",LzKVlSzqBeE,https://www.youtube.com/watch?v=LzKVlSzqBeE
88,Advanced WordPress,Comprehensive beginner course on WordPress. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"wordpress,web-development,beginner",Web Development,WordPress,Beginner,Rachel Green,"Master WordPress, Build real-world projects, Understand core concepts, Apply best practices",OkQGYIMkGnE,https://www.youtube.com/watch?v=OkQGYIMkGnE
89,Angular Fundamentals,Comprehensive intermediate course on Angular. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"angular,web-development,intermediate",Web Development,Angular,Intermediate,Emily Rodriguez,"Master Angular, Build real-world projects, Understand core concepts, Apply best practices",ZszJUChxzJw,https://www.youtube.com/watch?v=ZszJUChxzJw
90,Flask from Scratch,Comprehensive intermediate course on Flask. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"flask,web-development,intermediate",Web Development,Flask,Intermediate,James Wilson,"Master Flask, Build real-world projects, Understand core concepts, Apply best practices",MhwABaWlnmU,https://www.youtube.com/watch?v=MhwABaWlnmU
91,WordPress Masterclass,Comprehensive advanced course on WordPress. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"wordpress,web-development,advanced",Web Development,WordPress,Advanced,Dr. Ahmed Hassan,"Master WordPress, Build real-world projects, Understand core concepts, Apply best practices",4e3K8vO_8G8,https://www.youtube.com/watch?v=4e3K8vO_8G8
92,Advanced WordPress,Comprehensive beginner course on WordPress. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"wordpress,web-development,beginner",Web Development,WordPress,Beginner,Dr. Wei Zhang,"Master WordPress, Build real-world projects, Understand core concepts, Apply best practices",OkQGYIMkGnE,https://www.youtube.com/watch?v=OkQGYIMkGnE
93,Complete Vue.js Course,Comprehensive beginner course on Vue.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"vue.js,web-development,beginner",Web Development,Vue.js,Beginner,Jennifer Lee,"Master Vue.js, Build real-world projects, Understand core concepts, Apply best practices",xB3ZmUH6GqU,https://www.youtube.com/watch?v=xB3ZmUH6GqU
94,Master Vue.js,Comprehensive advanced course on Vue.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"vue.js,web-development,advanced",Web Development,Vue.js,Advanced,Dr. Wei Zhang,"Master Vue.js, Build real-world projects, Understand core concepts, Apply best practices",VldVWN2i710,https://www.youtube.com/watch?v=VldVWN2i710
95,Django Fundamentals,Comprehensive intermediate course on Django. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"django,web-development,intermediate",Web Development,Django,Intermediate,Dr. Fatima Al-Sayed,"Master Django, Build real-world projects, Understand core concepts, Apply best practices",BYSnMDw0XnA,https://www.youtube.com/watch?v=BYSnMDw0XnA
96,Professional Flask,Comprehensive beginner course on Flask. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"flask,web-development,beginner",Web Development,Flask,Beginner,Jennifer Lee,"Master Flask, Build real-world projects, Understand core concepts, Apply best practices",2Xxb24mlNBg,https://www.youtube.com/watch?v=2Xxb24mlNBg
97,Complete HTML/CSS Course,Comprehensive intermediate course on HTML/CSS. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"html/css,web-development,intermediate",Web Development,HTML/CSS,Intermediate,Prof. Michael Chen,"Master HTML/CSS, Build real-world projects, Understand core concepts, Apply best practices",E9DL3G8sA5g,https://www.youtube.com/watch?v=E9DL3G8sA5g
98,Next.js for Intermediates,Comprehensive intermediate course on Next.js. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"next.js,web-development,intermediate",Web Development,Next.js,Intermediate,Prof. Michael Chen,"Master Next.js, Build real-world projects, Understand core concepts, Apply best practices",Yu3pR6_Kz_c,https://www.youtube.com/watch?v=Yu3pR6_Kz_c
99,Master Flask,Comprehensive beginner course on Flask. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"flask,web-development,beginner",Web Development,Flask,Beginner,Jennifer Lee,"Master Flask, Build real-world projects, Understand core concepts, Apply best practices",WGdOkhcceBU,https://www.youtube.com/watch?v=WGdOkhcceBU
100,Professional HTML/CSS,Comprehensive advanced course on HTML/CSS. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"html/css,web-development,advanced",Web Development,HTML/CSS,Advanced,Thomas Brown,"Master HTML/CSS, Build real-world projects, Understand core concepts, Apply best practices",E9DL3G8sA5g,https://www.youtube.com/watch?v=E9DL3G8sA5g
101,Master React,Comprehensive beginner course on React. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"react,web-development,beginner",Web Development,React,Beginner,Emily Rodriguez,"Master React, Build real-world projects, Understand core concepts, Apply best practices",s2skans2dP4,https://www.youtube.com/watch?v=s2skans2dP4
102,WordPress Masterclass,Comprehensive beginner course on WordPress. Learn essential skills and best practices in web development. Perfect for those looking to advance their career.,"wordpress,web-development,beginner",Web Development,WordPress,Beginner,Carlos Mendez,"Master WordPress, Build real-world projects, Understand core concepts, Apply best practices",N5oyq_0SGF4,https://www.youtube.com/watch?v=N5oyq_0SGF4
103,Android for Intermediates,Comprehensive intermediate course on Android. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"android,mobile-development,intermediate",Mobile Development,Android,Intermediate,Dr. Lisa Anderson,"Master Android, Build real-world projects, Understand core concepts, Apply best practices",mB0EBW-vDSQ,https://www.youtube.com/watch?v=mB0EBW-vDSQ
104,React Native Bootcamp,Comprehensive intermediate course on React Native. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"react-native,mobile-development,intermediate",Mobile Development,React Native,Intermediate,Prof. Michael Chen,"Master React Native, Build real-world projects, Understand core concepts, Apply best practices",wIyHSOugGGw,https://www.youtube.com/watch?v=wIyHSOugGGw
105,Complete Android Course,Comprehensive advanced course on Android. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"android,mobile-development,advanced",Mobile Development,Android,Advanced,Prof. Robert Taylor,"Master Android, Build real-world projects, Understand core concepts, Apply best practices",O3WLv4_ev7s,https://www.youtube.com/watch?v=O3WLv4_ev7s
106,React Native Masterclass,Comprehensive advanced course on React Native. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"react-native,mobile-development,advanced",Mobile Development,React Native,Advanced,Thomas Brown,"Master React Native, Build real-world projects, Understand core concepts, Apply best practices",4AXQgOcL1mo,https://www.youtube.com/watch?v=4AXQgOcL1mo
107,Master Kotlin,Comprehensive beginner course on Kotlin. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"kotlin,mobile-development,beginner",Mobile Development,Kotlin,Beginner,Prof. Robert Taylor,"Master Kotlin, Build real-world projects, Understand core concepts, Apply best practices",yye7rSsiV6k,https://www.youtube.com/watch?v=yye7rSsiV6k
108,Master Android,Comprehensive intermediate course on Android. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"android,mobile-development,intermediate",Mobile Development,Android,Intermediate,Dr. Sarah Johnson,"Master Android, Build real-world projects, Understand core concepts, Apply best practices",4itSY0xkOqw,https://www.youtube.com/watch?v=4itSY0xkOqw
109,Kotlin Fundamentals,Comprehensive intermediate course on Kotlin. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"kotlin,mobile-development,intermediate",Mobile Development,Kotlin,Intermediate,Thomas Brown,"Master Kotlin, Build real-world projects, Understand core concepts, Apply best practices",iYrgWO2oibY,https://www.youtube.com/watch?v=iYrgWO2oibY
110,Learn React Native,Comprehensive beginner course on React Native. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"react-native,mobile-development,beginner",Mobile Development,React Native,Beginner,David Kim,"Master React Native, Build real-world projects, Understand core concepts, Apply best practices",2tjXpbs8Gdc,https://www.youtube.com/watch?v=2tjXpbs8Gdc
111,iOS Fundamentals,Comprehensive intermediate course on iOS. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"ios,mobile-development,intermediate",Mobile Development,iOS,Intermediate,Prof. Robert Taylor,"Master iOS, Build real-world projects, Understand core concepts, Apply best practices",1xipg02Wu8s,https://www.youtube.com/watch?v=1xipg02Wu8s
112,Flutter Fundamentals,Comprehensive intermediate course on Flutter. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"flutter,mobile-development,intermediate",Mobile Development,Flutter,Intermediate,Dr. Ahmed Hassan,"Master Flutter, Build real-world projects, Understand core concepts, Apply best practices",1xipg02Wu8s,https://www.youtube.com/watch?v=1xipg02Wu8s
113,Learn Android,Comprehensive beginner course on Android. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"android,mobile-development,beginner",Mobile Development,Android,Beginner,Maria Garcia,"Master Android, Build real-world projects, Understand core concepts, Apply best practices",saKrGCWlJDs,https://www.youtube.com/watch?v=saKrGCWlJDs
114,Advanced React Native,Comprehensive intermediate course on React Native. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"react-native,mobile-development,intermediate",Mobile Development,React Native,Intermediate,Emily Rodriguez,"Master React Native, Build real-world projects, Understand core concepts, Apply best practices",4AXQgOcL1mo,https://www.youtube.com/watch?v=4AXQgOcL1mo
115,Learn React Native,Comprehensive advanced course on React Native. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"react-native,mobile-development,advanced",Mobile Development,React Native,Advanced,Rachel Green,"Master React Native, Build real-world projects, Understand core concepts, Apply best practices",4AXQgOcL1mo,https://www.youtube.com/watch?v=4AXQgOcL1mo
116,Kotlin for Advanceds,Comprehensive advanced course on Kotlin. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"kotlin,mobile-development,advanced",Mobile Development,Kotlin,Advanced,Sophie Martin,"Master Kotlin, Build real-world projects, Understand core concepts, Apply best practices",iYrgWO2oibY,https://www.youtube.com/watch?v=iYrgWO2oibY
117,iOS Masterclass,Comprehensive intermediate course on iOS. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"ios,mobile-development,intermediate",Mobile Development,iOS,Intermediate,James Wilson,"Master iOS, Build real-world projects, Understand core concepts, Apply best practices",dtm5nCxwH1I,https://www.youtube.com/watch?v=dtm5nCxwH1I
118,React Native Masterclass,Comprehensive beginner course on React Native. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"react-native,mobile-development,beginner",Mobile Development,React Native,Beginner,David Kim,"Master React Native, Build real-world projects, Understand core concepts, Apply best practices",4AXQgOcL1mo,https://www.youtube.com/watch?v=4AXQgOcL1mo
119,Learn Flutter,Comprehensive intermediate course on Flutter. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"flutter,mobile-development,intermediate",Mobile Development,Flutter,Intermediate,Sophie Martin,"Master Flutter, Build real-world projects, Understand core concepts, Apply best practices",1xipg02Wu8s,https://www.youtube.com/watch?v=1xipg02Wu8s
120,Learn SwiftUI,Comprehensive advanced course on SwiftUI. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"swiftui,mobile-development,advanced",Mobile Development,SwiftUI,Advanced,David Kim,"Master SwiftUI, Build real-world projects, Understand core concepts, Apply best practices",Nx-eXCamKgA,https://www.youtube.com/watch?v=Nx-eXCamKgA
121,SwiftUI for Beginners,Comprehensive beginner course on SwiftUI. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"swiftui,mobile-development,beginner",Mobile Development,SwiftUI,Beginner,Jennifer Lee,"Master SwiftUI, Build real-world projects, Understand core concepts, Apply best practices",Nx-eXCamKgA,https://www.youtube.com/watch?v=Nx-eXCamKgA
122,Professional Kotlin,Comprehensive intermediate course on Kotlin. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"kotlin,mobile-development,intermediate",Mobile Development,Kotlin,Intermediate,Dr. Sarah Johnson,"Master Kotlin, Build real-world projects, Understand core concepts, Apply best practices",iYrgWO2oibY,https://www.youtube.com/watch?v=iYrgWO2oibY
123,SwiftUI Bootcamp,Comprehensive advanced course on SwiftUI. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"swiftui,mobile-development,advanced",Mobile Development,SwiftUI,Advanced,Maria Garcia,"Master SwiftUI, Build real-world projects, Understand core concepts, Apply best practices",9zh7ZaY7URI,https://www.youtube.com/watch?v=9zh7ZaY7URI
124,Flutter Masterclass,Comprehensive beginner course on Flutter. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"flutter,mobile-development,beginner",Mobile Development,Flutter,Beginner,Sophie Martin,"Master Flutter, Build real-world projects, Understand core concepts, Apply best practices",1xipg02Wu8s,https://www.youtube.com/watch?v=1xipg02Wu8s
125,Advanced React Native,Comprehensive advanced course on React Native. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"react-native,mobile-development,advanced",Mobile Development,React Native,Advanced,David Kim,"Master React Native, Build real-world projects, Understand core concepts, Apply best practices",4AXQgOcL1mo,https://www.youtube.com/watch?v=4AXQgOcL1mo
126,SwiftUI Bootcamp,Comprehensive intermediate course on SwiftUI. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"swiftui,mobile-development,intermediate",Mobile Development,SwiftUI,Intermediate,Thomas Brown,"Master SwiftUI, Build real-world projects, Understand core concepts, Apply best practices",9zh7ZaY7URI,https://www.youtube.com/watch?v=9zh7ZaY7URI
127,Professional Flutter,Comprehensive advanced course on Flutter. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"flutter,mobile-development,advanced",Mobile Development,Flutter,Advanced,Dr. Ahmed Hassan,"Master Flutter, Build real-world projects, Understand core concepts, Apply best practices",1xipg02Wu8s,https://www.youtube.com/watch?v=1xipg02Wu8s
128,Learn Android,Comprehensive beginner course on Android. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"android,mobile-development,beginner",Mobile Development,Android,Beginner,Thomas Brown,"Master Android, Build real-world projects, Understand core concepts, Apply best practices",saKrGCWlJDs,https://www.youtube.com/watch?v=saKrGCWlJDs
129,Kotlin Masterclass,Comprehensive advanced course on Kotlin. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"kotlin,mobile-development,advanced",Mobile Development,Kotlin,Advanced,James Wilson,"Master Kotlin, Build real-world projects, Understand core concepts, Apply best practices",Og287zzOTEM,https://www.youtube.com/watch?v=Og287zzOTEM
130,Professional SwiftUI,Comprehensive intermediate course on SwiftUI. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"swiftui,mobile-development,intermediate",Mobile Development,SwiftUI,Intermediate,Dr. Priya Sharma,"Master SwiftUI, Build real-world projects, Understand core concepts, Apply best practices",jvjqgcu2ork,https://www.youtube.com/watch?v=jvjqgcu2ork
131,iOS Fundamentals,Comprehensive intermediate course on iOS. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"ios,mobile-development,intermediate",Mobile Development,iOS,Intermediate,Dr. Ahmed Hassan,"Master iOS, Build real-world projects, Understand core concepts, Apply best practices",1xipg02Wu8s,https://www.youtube.com/watch?v=1xipg02Wu8s
132,Flutter Bootcamp,Comprehensive advanced course on Flutter. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"flutter,mobile-development,advanced",Mobile Development,Flutter,Advanced,Dr. Fatima Al-Sayed,"Master Flutter, Build real-world projects, Understand core concepts, Apply best practices",1xipg02Wu8s,https://www.youtube.com/watch?v=1xipg02Wu8s
133,Flutter Fundamentals,Comprehensive intermediate course on Flutter. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"flutter,mobile-development,intermediate",Mobile Development,Flutter,Intermediate,Anna Kowalski,"Master Flutter, Build real-world projects, Understand core concepts, Apply best practices",1xipg02Wu8s,https://www.youtube.com/watch?v=1xipg02Wu8s
134,Complete SwiftUI Course,Comprehensive intermediate course on SwiftUI. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"swiftui,mobile-development,intermediate",Mobile Development,SwiftUI,Intermediate,James Wilson,"Master SwiftUI, Build real-world projects, Understand core concepts, Apply best practices",9zh7ZaY7URI,https://www.youtube.com/watch?v=9zh7ZaY7URI
135,React Native Bootcamp,Comprehensive advanced course on React Native. Learn essential skills and best practices in mobile development. Perfect for those looking to advance their career.,"react-native,mobile-development,advanced",Mobile Development,React Native,Advanced,Dr. Fatima Al-Sayed,"Master React Native, Build real-world projects, Understand core concepts, Apply best practices",5-V0-y1iP3Q,https://www.youtube.com/watch?v=5-V0-y1iP3Q
136,Terraform Fundamentals,Comprehensive beginner course on Terraform. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"terraform,cloud-computing,beginner",Cloud Computing,Terraform,Beginner,Dr. Ahmed Hassan,"Master Terraform, Build real-world projects, Understand core concepts, Apply best practices",lo0M1FCgC-I,https://www.youtube.com/watch?v=lo0M1FCgC-I
137,Terraform for Beginners,Comprehensive beginner course on Terraform. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"terraform,cloud-computing,beginner",Cloud Computing,Terraform,Beginner,Dr. Lisa Anderson,"Master Terraform, Build real-world projects, Understand core concepts, Apply best practices",vq67WWPdHM0,https://www.youtube.com/watch?v=vq67WWPdHM0
138,AWS Masterclass,Comprehensive beginner course on AWS. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"aws,cloud-computing,beginner",Cloud Computing,AWS,Beginner,Dr. John Smith,"Master AWS, Build real-world projects, Understand core concepts, Apply best practices",BSGcQi2WNPg,https://www.youtube.com/watch?v=BSGcQi2WNPg
139,Learn Terraform,Comprehensive beginner course on Terraform. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"terraform,cloud-computing,beginner",Cloud Computing,Terraform,Beginner,Anna Kowalski,"Master Terraform, Build real-world projects, Understand core concepts, Apply best practices",lo0M1FCgC-I,https://www.youtube.com/watch?v=lo0M1FCgC-I
140,Learn DevOps,Comprehensive advanced course on DevOps. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"devops,cloud-computing,advanced",Cloud Computing,DevOps,Advanced,Maria Garcia,"Master DevOps, Build real-world projects, Understand core concepts, Apply best practices",6GQRb4fGvtk,https://www.youtube.com/watch?v=6GQRb4fGvtk
141,Master Docker,Comprehensive intermediate course on Docker. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"docker,cloud-computing,intermediate",Cloud Computing,Docker,Intermediate,Prof. Robert Taylor,"Master Docker, Build real-world projects, Understand core concepts, Apply best practices",DQdB7wFEygo,https://www.youtube.com/watch?v=DQdB7wFEygo
142,Complete DevOps Course,Comprehensive advanced course on DevOps. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"devops,cloud-computing,advanced",Cloud Computing,DevOps,Advanced,Dr. Sarah Johnson,"Master DevOps, Build real-world projects, Understand core concepts, Apply best practices",6GQRb4fGvtk,https://www.youtube.com/watch?v=6GQRb4fGvtk
143,Master Terraform,Comprehensive intermediate course on Terraform. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"terraform,cloud-computing,intermediate",Cloud Computing,Terraform,Intermediate,Prof. Robert Taylor,"Master Terraform, Build real-world projects, Understand core concepts, Apply best practices",7poyz0rh2N4,https://www.youtube.com/watch?v=7poyz0rh2N4
144,Terraform from Scratch,Comprehensive advanced course on Terraform. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"terraform,cloud-computing,advanced",Cloud Computing,Terraform,Advanced,Rachel Green,"Master Terraform, Build real-world projects, Understand core concepts, Apply best practices",jwzj3bNW-GQ,https://www.youtube.com/watch?v=jwzj3bNW-GQ
145,Complete AWS Course,Comprehensive advanced course on AWS. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"aws,cloud-computing,advanced",Cloud Computing,AWS,Advanced,Prof. Robert Taylor,"Master AWS, Build real-world projects, Understand core concepts, Apply best practices",BSGcQi2WNPg,https://www.youtube.com/watch?v=BSGcQi2WNPg
146,Professional Docker,Comprehensive beginner course on Docker. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"docker,cloud-computing,beginner",Cloud Computing,Docker,Beginner,Anna Kowalski,"Master Docker, Build real-world projects, Understand core concepts, Apply best practices",DQdB7wFEygo,https://www.youtube.com/watch?v=DQdB7wFEygo
147,Kubernetes from Scratch,Comprehensive advanced course on Kubernetes. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"kubernetes,cloud-computing,advanced",Cloud Computing,Kubernetes,Advanced,Sophie Martin,"Master Kubernetes, Build real-world projects, Understand core concepts, Apply best practices",lENeZmjD2zc,https://www.youtube.com/watch?v=lENeZmjD2zc
148,Learn Kubernetes,Comprehensive advanced course on Kubernetes. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"kubernetes,cloud-computing,advanced",Cloud Computing,Kubernetes,Advanced,Rachel Green,"Master Kubernetes, Build real-world projects, Understand core concepts, Apply best practices",lENeZmjD2zc,https://www.youtube.com/watch?v=lENeZmjD2zc
149,Master Terraform,Comprehensive advanced course on Terraform. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"terraform,cloud-computing,advanced",Cloud Computing,Terraform,Advanced,Anna Kowalski,"Master Terraform, Build real-world projects, Understand core concepts, Apply best practices",5WykrpB7qS4,https://www.youtube.com/watch?v=5WykrpB7qS4
150,Advanced DevOps,Comprehensive intermediate course on DevOps. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"devops,cloud-computing,intermediate",Cloud Computing,DevOps,Intermediate,Anna Kowalski,"Master DevOps, Build real-world projects, Understand core concepts, Apply best practices",lENeZmjD2zc,https://www.youtube.com/watch?v=lENeZmjD2zc
151,Professional Terraform,Comprehensive beginner course on Terraform. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"terraform,cloud-computing,beginner",Cloud Computing,Terraform,Beginner,Jennifer Lee,"Master Terraform, Build real-world projects, Understand core concepts, Apply best practices",-M9yxLuEaCY,https://www.youtube.com/watch?v=-M9yxLuEaCY
152,Advanced Docker,Comprehensive advanced course on Docker. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"docker,cloud-computing,advanced",Cloud Computing,Docker,Advanced,Prof. Robert Taylor,"Master Docker, Build real-world projects, Understand core concepts, Apply best practices",rIrNIzy6U_g,https://www.youtube.com/watch?v=rIrNIzy6U_g
153,Docker Fundamentals,Comprehensive beginner course on Docker. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"docker,cloud-computing,beginner",Cloud Computing,Docker,Beginner,Dr. Ahmed Hassan,"Master Docker, Build real-world projects, Understand core concepts, Apply best practices",DQdB7wFEygo,https://www.youtube.com/watch?v=DQdB7wFEygo
154,Professional Google Cloud,Comprehensive intermediate course on Google Cloud. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"google-cloud,cloud-computing,intermediate",Cloud Computing,Google Cloud,Intermediate,Sophie Martin,"Master Google Cloud, Build real-world projects, Understand core concepts, Apply best practices",cOV86QlgMo0,https://www.youtube.com/watch?v=cOV86QlgMo0
155,AWS Fundamentals,Comprehensive beginner course on AWS. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"aws,cloud-computing,beginner",Cloud Computing,AWS,Beginner,Dr. Lisa Anderson,"Master AWS, Build real-world projects, Understand core concepts, Apply best practices",3XFODda6YXo,https://www.youtube.com/watch?v=3XFODda6YXo
156,Docker Fundamentals,Comprehensive advanced course on Docker. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"docker,cloud-computing,advanced",Cloud Computing,Docker,Advanced,Dr. Lisa Anderson,"Master Docker, Build real-world projects, Understand core concepts, Apply best practices",DQdB7wFEygo,https://www.youtube.com/watch?v=DQdB7wFEygo
157,AWS Bootcamp,Comprehensive intermediate course on AWS. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"aws,cloud-computing,intermediate",Cloud Computing,AWS,Intermediate,Thomas Brown,"Master AWS, Build real-world projects, Understand core concepts, Apply best practices",lENeZmjD2zc,https://www.youtube.com/watch?v=lENeZmjD2zc
158,Kubernetes for Intermediates,Comprehensive intermediate course on Kubernetes. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"kubernetes,cloud-computing,intermediate",Cloud Computing,Kubernetes,Intermediate,Thomas Brown,"Master Kubernetes, Build real-world projects, Understand core concepts, Apply best practices",gd7BXuUQ91w,https://www.youtube.com/watch?v=gd7BXuUQ91w
159,Azure Masterclass,Comprehensive intermediate course on Azure. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"azure,cloud-computing,intermediate",Cloud Computing,Azure,Intermediate,Dr. Priya Sharma,"Master Azure, Build real-world projects, Understand core concepts, Apply best practices",lENeZmjD2zc,https://www.youtube.com/watch?v=lENeZmjD2zc
160,Learn DevOps,Comprehensive beginner course on DevOps. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"devops,cloud-computing,beginner",Cloud Computing,DevOps,Beginner,Marco Rossi,"Master DevOps, Build real-world projects, Understand core concepts, Apply best practices",6GQRb4fGvtk,https://www.youtube.com/watch?v=6GQRb4fGvtk
161,Advanced Docker,Comprehensive beginner course on Docker. Learn essential skills and best practices in cloud computing. Perfect for those looking to advance their career.,"docker,cloud-computing,beginner",Cloud Computing,Docker,Beginner,Carlos Mendez,"Master Docker, Build real-world projects, Understand core concepts, Apply best practices",DQdB7wFEygo,https://www.youtube.com/watch?v=DQdB7wFEygo
162,Professional Economics,Comprehensive intermediate course on Economics. Learn essential skills and best practices in business. Perfect for those looking to advance their career.,"economics,business,intermediate",Business,Economics,Intermediate,Dr. Wei Zhang,"Master Economics, Build real-world projects, Understand core concepts, Apply best practices",qnEZQRpWWi8,https://www.youtube.com/watch?v=qnEZQRpWWi8
163,Economics from Scratch,Comprehensive advanced course on Economics. Learn essential skills and best practices in business. Perfect for those looking to advance their career.,"economics,business,advanced",Business,Economics,Advanced,Prof. Robert Taylor,"Master Economics, Build real-world projects, Understand core concepts, Apply best practices",qnEZQRpWWi8,https://www.youtube.com/watch?v=qnEZQRpWWi8
164,Management from Scratch,Comprehensive intermediate course on Management. Learn essential skills and best practices in business. Perfect for those looking to advance their career.,"management,business,intermediate",Business,Management,Intermediate,Thomas Brown,"Master Management, Build real-world projects, Understand core concepts, Apply best practices",NquuY41FrrA,https://www.youtube.com/watch?v=NquuY41FrrA
165,Learn Entrepreneurship,Comprehensive intermediate course on Entrepreneurship. Learn essential skills and best practices in business. Perfect for those looking to advance their career.,"entrepreneurship,business,intermediate",Business,Entrepreneurship,Intermediate,Sophie Martin,"Master Entrepreneurship, Build real-world projects, Understand core concepts, Apply best practices",eHJnEHyyN1Y,https://www.youtube.com/watch?v=eHJnEHyyN1Y
166,Master Accounting,Comprehensive beginner course on Accounting. Learn essential skills and best practices in business. Perfect for those looking to advance their career.,"accounting,business,beginner",Business,Accounting,Beginner,Anna Kowalski,"Master Accounting, Build real-world projects, Understand core concepts, Apply best practices",yYX4bvQSqbo,https://www.youtube.com/watch?v=yYX4bvQSqbo
167,Learn Finance,Comprehensive advanced course on Finance. Learn essential skills and best practices in business. Perfect for those looking to advance their career.,"finance,business,advanced",Business,Finance,Advanced,Dr. Sarah Johnson,"Master Finance, Build real-world projects, Understand core concepts, Apply best practices",4XZIv4__sQA,https://www.youtube.com/watch?v=4XZIv4__sQA
